Rank,Team,Net Portfolio P&L (%),Ann. Volatility (%),Max Drawdown (%),Sharpe Ratio,Info Ratio,Win Rate (%)
1,EMBA Kilo,45.88,22.89,-8.04,2.42,2.47,50.0
2,EMBA Delta,21.96,9.58,-4.72,2.95,2.98,50.0
3,EMBA India,9.06,5.71,-2.11,2.15,1.36,100.0
4,EMBA Charlie,7.01,5.16,-2.23,1.86,1.21,100.0
5,EMBA Alfa,4.96,3.1,-0.45,2.2,0.9,50.0
6,EMBA Foxtrot,3.69,5.69,-3.29,0.92,0.51,100.0
7,EMBA Echo,2.91,3.97,-1.87,1.03,0.5,50.0
8,EMBA Juliett,2.62,5.93,-3.53,0.64,0.38,50.0
9,EMBA November,1.02,1.28,-0.97,1.12,0.12,50.0
10,EMBA Golf,0.32,1.69,-1.28,0.27,-0.05,50.0
11,EMBA Oscar,0.29,1.2,-1.37,0.34,-0.06,50.0
12,EMBA Lima,0.08,4.73,-3.75,0.05,-0.06,67.0
13,EMBA Bravo,-0.33,1.63,-1.7,-0.28,-0.24,0.0
14,EMBA Hotel,-1.15,1.83,-2.14,-0.88,-0.37,17.0
